0,0.003125,"(32, 32, 128, 128)",81,(),"(32, 512)",0.9,he_normal,1e-05,<utils.utils.CategoricalCrossentropy object at 0x2815c0af0>,1000,16,5,0.25,0.30000000000000004,0.001,2000,2,10000,400,"(32, 512, 512, 512)",CartPole-v1_1
0,0.003125,"(256, 256, 1024)",51,(),"(32, 32, 64, 1024)",0.99,glorot_normal,2,<utils.utils.CategoricalCrossentropy object at 0x2815c0af0>,250,32,8,0.55,0.15000000000000002,0.0001,7500,1,10000,800,"(64, 64, 64, 256)",CartPole-v1_2
0,0.03125,"(64, 64, 64, 256)",81,(),"(32, 512, 1024)",0.999,glorot_normal,5,<utils.utils.KLDivergence object at 0x2815c0c70>,250,16,3,0.4,0.30000000000000004,0.0001,5000,8,10000,400,"(32,)",CartPole-v1_3
0,0.3125,"(256, 512, 512, 1024)",51,2.0,(),"(256, 256)",0.99,he_uniform,10,<utils.utils.CategoricalCrossentropy object at 0x282237d00>,250,64,4,0.6000000000000001,0.9,0.001,7500,2,10000,2000,"(64, 64, 64, 128)",CartPole-v1_1
0,0.03125,"(256, 256, 256, 256)",51,10.0,(),"(1024, 1024)",0.999,orthogonal,0.01,<utils.utils.CategoricalCrossentropy object at 0x282237d00>,1500,128,5,0.25,0.25,0.0001,5000,12,10000,200,"(128, 128, 256, 256)",CartPole-v1_2
0,0.03125,"(128, 128, 128, 256)",61,0.5,(),"(32, 32, 1024)",0.999,he_normal,2,<utils.utils.CategoricalCrossentropy object at 0x282237d00>,375,64,8,0.25,0.15000000000000002,0.0001,10000,12,10000,25,"(32, 64, 128)",CartPole-v1_3
0,0.3125,"(256, 256, 256, 512)",71,10.0,(),"(64, 128, 128, 128)",0.999,he_normal,0.1,<utils.utils.KLDivergence object at 0x282237e80>,500,64,8,0.1,0.9500000000000001,0.1,10000,5,10000,10,"(256, 512, 512, 1024)",CartPole-v1_4
0,0.03125,"(128, 256, 256)",71,0.1,(),"(128, 512, 1024, 1024)",0.999,glorot_normal,2,<utils.utils.CategoricalCrossentropy object at 0x282237d00>,375,64,5,0.2,0.05,0.1,7500,3,10000,1600,"(32, 32, 32, 64)",CartPole-v1_5
0,0.003125,"(32, 64)",81,10.0,(),"(32, 64, 256, 256)",0.9,glorot_uniform,2,<utils.utils.KLDivergence object at 0x282237e80>,875,64,8,0.35000000000000003,0.75,0.01,5000,2,10000,100,"(32, 512, 512, 1024)",CartPole-v1_6
0,0.3125,"(64, 64, 256, 512)",61,1.0,(),"(256, 256)",0.995,he_normal,0.01,<utils.utils.KLDivergence object at 0x282237e80>,250,16,4,0.15000000000000002,0.7000000000000001,0.1,10000,3,10000,2000,"(64, 512, 1024)",CartPole-v1_7
0,0.3125,"(32, 256, 512, 512)",71,10.0,(),"(32, 32, 32, 256)",0.999,he_normal,0.1,<utils.utils.CategoricalCrossentropy object at 0x282237d00>,250,32,4,0.2,0.2,0.1,5000,1,10000,400,"(256, 256, 256, 512)",CartPole-v1_8
0,0.03125,"(128, 512, 1024, 1024)",51,10.0,(),"(128, 512, 1024, 1024)",0.999,he_normal,1e-05,<utils.utils.CategoricalCrossentropy object at 0x282237d00>,250,32,4,0.8,0.6000000000000001,0.001,5000,5,10000,25,"(128, 128, 1024, 1024)",CartPole-v1_9
0,0.03125,"(64, 64, 512, 1024)",71,10.0,(),"(256, 512, 1024)",0.999,glorot_uniform,0.01,<utils.utils.KLDivergence object at 0x282237e80>,1500,16,5,0.05,0.6000000000000001,1e-05,3000,2,10000,100,"(64, 64, 128, 256)",CartPole-v1_10
0,0.3125,"(32, 128, 128, 128)",81,0.1,(),"(256, 256, 256, 1024)",0.995,he_normal,0.0001,<utils.utils.KLDivergence object at 0x282237e80>,500,128,8,0.65,0.4,0.0001,7500,3,10000,25,"(32, 256, 1024)",CartPole-v1_11
